,sid,datetime,temperature,precipitation,wind_speed
0,1420,2019-02-01 00:00:00,-0.3,0.0,2.5
1,1420,2019-02-01 01:00:00,-0.1,0.0,2.4
2,1420,2019-02-01 02:00:00,-0.3,0.2,1.7
3,1420,2019-02-01 03:00:00,-0.3,0.7,1.6
4,1420,2019-02-01 04:00:00,0.0,0.0,2.1
5,1420,2019-02-01 05:00:00,0.0,0.0,1.3
6,1420,2019-02-01 06:00:00,0.2,0.0,1.7
7,1420,2019-02-01 07:00:00,0.5,0.0,1.3
8,1420,2019-02-01 08:00:00,0.8,0.0,2.3
9,1420,2019-02-01 09:00:00,1.5,0.0,2.1
10,1420,2019-02-01 10:00:00,2.2,0.0,1.2
11,1420,2019-02-01 11:00:00,2.4,0.0,1.3
12,1420,2019-02-01 12:00:00,3.2,0.0,1.6
13,1420,2019-02-01 13:00:00,3.1,0.0,2.6
14,1420,2019-02-01 14:00:00,3.1,0.0,2.4
15,1420,2019-02-01 15:00:00,3.3,0.0,2.1
16,1420,2019-02-01 16:00:00,3.6,0.0,2.5
17,1420,2019-02-01 17:00:00,2.8,0.0,3.4
18,1420,2019-02-01 18:00:00,3.1,0.0,3.3
19,1420,2019-02-01 19:00:00,2.9,0.0,2.6
20,1420,2019-02-01 20:00:00,3.4,0.0,2.0
21,1420,2019-02-01 21:00:00,3.7,0.0,1.8
22,1420,2019-02-01 22:00:00,3.3,0.0,1.5
23,1420,2019-02-01 23:00:00,2.6,0.0,1.4
24,1420,2019-02-02 00:00:00,2.5,0.0,2.5
25,1420,2019-02-02 01:00:00,2.4,0.0,2.4
26,1420,2019-02-02 02:00:00,2.4,0.1,1.7
27,1420,2019-02-02 03:00:00,2.2,0.1,1.3
28,1420,2019-02-02 04:00:00,2.2,0.0,2.0
29,1420,2019-02-02 05:00:00,2.6,0.0,1.0
30,1420,2019-02-02 06:00:00,2.2,0.0,1.6
31,1420,2019-02-02 07:00:00,2.6,0.0,1.0
32,1420,2019-02-02 08:00:00,2.7,0.0,0.7
33,1420,2019-02-02 09:00:00,2.7,0.1,1.1
34,1420,2019-02-02 10:00:00,3.0,0.0,1.9
35,1420,2019-02-02 11:00:00,3.6,0.0,2.3
36,1420,2019-02-02 12:00:00,3.8,0.0,3.4
