"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"TT_TU_MN009","1420","201901010000","6.5","7","6"
"TT_TU_MN009","1420","201901010100","6.5","7","6"
"TT_TU_MN009","1420","201901010200","6.2","7","1"
"TT_TU_MN009","1420","201901010300","6.2","7","1"
"TT_TU_MN009","1420","201901010400","6.5","7","1"
"TT_TU_MN009","1420","201901010500","6.5","7","1"
"TT_TU_MN009","1420","201901010600","7.4","7","1"
"TT_TU_MN009","1420","201901010700","7.7","7","1"
"TT_TU_MN009","1420","201901010800","7.6","7","1"
"TT_TU_MN009","1420","201901010900","7.6","7","1"
"TT_TU_MN009","1420","201901011000","7.8","7","1"
"TT_TU_MN009","1420","201901011100","7.6","7","1"
"TT_TU_MN009","1420","201901011200","7.3","7","1"
"TT_TU_MN009","1420","201901011300","7.3","7","1"
"TT_TU_MN009","1420","201901011400","7.4","7","1"
"TT_TU_MN009","1420","201901011500","6.9","7","1"
"TT_TU_MN009","1420","201901011600","6.7","7","1"
"TT_TU_MN009","1420","201901011700","6.7","7","1"
"TT_TU_MN009","1420","201901011800","7.1","7","1"
"TT_TU_MN009","1420","201901011900","7","7","1"
"TT_TU_MN009","1420","201901012000","5.5","7","1"
"TT_TU_MN009","1420","201901012100","5.9","7","1"
"TT_TU_MN009","1420","201901012200","5.7","7","1"
"TT_TU_MN009","1420","201901012300","3.7","7","1"
"TT_TU_MN009","1420","201901020000","4.4","7","1"
"TT_TU_MN009","1420","201901020100","4.4","7","1"
"TT_TU_MN009","1420","201901020200","4","7","1"
"TT_TU_MN009","1420","201901020300","4.2","7","1"
"TT_TU_MN009","1420","201901020400","4.3","7","1"
"TT_TU_MN009","1420","201901020500","4","7","1"
"TT_TU_MN009","1420","201901020600","4.1","7","1"
"TT_TU_MN009","1420","201901020700","4","7","1"
"TT_TU_MN009","1420","201901020800","4.1","7","1"
"TT_TU_MN009","1420","201901020900","4.2","7","1"
"TT_TU_MN009","1420","201901021000","4.8","7","1"
"TT_TU_MN009","1420","201901021100","5","7","1"
"TT_TU_MN009","1420","201901021200","5.7","7","1"
"TT_TU_MN009","1420","201901021300","5.8","7","1"
"TT_TU_MN009","1420","201901021400","5.7","7","1"
"TT_TU_MN009","1420","201901021500","5.2","7","1"
"TT_TU_MN009","1420","201901021600","4.2","7","1"
"TT_TU_MN009","1420","201901021700","3.9","7","1"
"TT_TU_MN009","1420","201901021800","2.3","7","1"
"TT_TU_MN009","1420","201901021900","1.1","7","1"
"TT_TU_MN009","1420","201901022000","1.3","7","1"
"TT_TU_MN009","1420","201901022100","1","7","1"
"TT_TU_MN009","1420","201901022200","1.1","7","1"
"TT_TU_MN009","1420","201901022300","-1.9","7","1"
"TT_TU_MN009","1420","201901030000","-2.3","7","1"
"TT_TU_MN009","1420","201901030100","-2.1","7","1"
"TT_TU_MN009","1420","201901030200","-2.2","7","1"
"TT_TU_MN009","1420","201901030300","-1.4","7","1"
"TT_TU_MN009","1420","201901030400","-1.3","7","1"
"TT_TU_MN009","1420","201901030500","-1.3","7","1"
"TT_TU_MN009","1420","201901030600","-0.6","7","1"
"TT_TU_MN009","1420","201901030700","-0.4","7","1"
"TT_TU_MN009","1420","201901030800","0","7","1"
"TT_TU_MN009","1420","201901030900","1.4","7","1"
"TT_TU_MN009","1420","201901031000","1.6","7","1"
"TT_TU_MN009","1420","201901031100","1.6","7","1"
"TT_TU_MN009","1420","201901031200","2.2","7","1"
"TT_TU_MN009","1420","201901031300","2.6","7","1"
"TT_TU_MN009","1420","201901031400","3.9","7","1"
"TT_TU_MN009","1420","201901031500","3.9","7","1"
"TT_TU_MN009","1420","201901031600","3.3","7","1"
"TT_TU_MN009","1420","201901031700","2.6","7","1"
"TT_TU_MN009","1420","201901031800","3.2","7","1"
"TT_TU_MN009","1420","201901031900","3.3","7","1"
"TT_TU_MN009","1420","201901032000","3.3","7","1"
"TT_TU_MN009","1420","201901032100","2","7","1"
"TT_TU_MN009","1420","201901032200","0.1","7","1"
"TT_TU_MN009","1420","201901032300","-1.2","7","1"
"TT_TU_MN009","1420","201901040000","-1.6","7","1"
"TT_TU_MN009","1420","201901040100","-2.3","7","1"
"TT_TU_MN009","1420","201901040200","-2.8","7","1"
"TT_TU_MN009","1420","201901040300","-2.3","7","1"
"TT_TU_MN009","1420","201901040400","-2","7","1"
"TT_TU_MN009","1420","201901040500","0","7","1"
"TT_TU_MN009","1420","201901040600","-0.2","7","1"
"TT_TU_MN009","1420","201901040700","-1.1","7","1"
"TT_TU_MN009","1420","201901040800","-1.1","7","1"
"TT_TU_MN009","1420","201901040900","-0.6","7","1"
"TT_TU_MN009","1420","201901041000","1.7","7","1"
"TT_TU_MN009","1420","201901041100","3","7","1"
"TT_TU_MN009","1420","201901041200","4.2","7","1"
"TT_TU_MN009","1420","201901041300","4.3","7","1"
"TT_TU_MN009","1420","201901041400","4","7","1"
"TT_TU_MN009","1420","201901041500","4","7","1"
"TT_TU_MN009","1420","201901041600","3.9","7","1"
"TT_TU_MN009","1420","201901041700","3.4","7","1"
"TT_TU_MN009","1420","201901041800","3.5","7","1"
"TT_TU_MN009","1420","201901041900","3.8","7","1"
"TT_TU_MN009","1420","201901042000","3.6","7","1"
"TT_TU_MN009","1420","201901042100","3.8","7","1"
"TT_TU_MN009","1420","201901042200","3.9","7","1"
"TT_TU_MN009","1420","201901042300","3.9","7","1"
"TT_TU_MN009","1420","201901050000","3.8","7","1"
"TT_TU_MN009","1420","201901050100","3.8","7","1"
"TT_TU_MN009","1420","201901050200","3.2","7","1"
"TT_TU_MN009","1420","201901050300","3.5","7","1"
"TT_TU_MN009","1420","201901050400","3.4","7","1"
"TT_TU_MN009","1420","201901050500","3.2","7","1"
"TT_TU_MN009","1420","201901050600","3.1","7","1"
"TT_TU_MN009","1420","201901050700","3.2","7","1"
"TT_TU_MN009","1420","201901050800","3.5","7","1"
"TT_TU_MN009","1420","201901050900","4.4","7","1"
"TT_TU_MN009","1420","201901051000","6.3","7","1"
"TT_TU_MN009","1420","201901051100","7.8","7","1"
"TT_TU_MN009","1420","201901051200","8.3","7","1"
"TT_TU_MN009","1420","201901051300","8.3","7","1"
"TT_TU_MN009","1420","201901051400","8.1","7","1"
"TT_TU_MN009","1420","201901051500","7.6","7","1"
"TT_TU_MN009","1420","201901051600","7.4","7","1"
"TT_TU_MN009","1420","201901051700","7.5","7","1"
"TT_TU_MN009","1420","201901051800","7.3","7","1"
"TT_TU_MN009","1420","201901051900","7.3","7","1"
"TT_TU_MN009","1420","201901052000","7.2","7","1"
"TT_TU_MN009","1420","201901052100","7.1","7","1"
"TT_TU_MN009","1420","201901052200","7.3","7","1"
"TT_TU_MN009","1420","201901052300","7.1","7","1"
"TT_TU_MN009","1420","201901060000","7.1","7","1"
"TT_TU_MN009","1420","201901060100","7","7","1"
"TT_TU_MN009","1420","201901060200","6.9","7","1"
"TT_TU_MN009","1420","201901060300","6.7","7","1"
"TT_TU_MN009","1420","201901060400","6.5","7","1"
"TT_TU_MN009","1420","201901060500","6.4","7","1"
"TT_TU_MN009","1420","201901060600","6.5","7","1"
"TT_TU_MN009","1420","201901060700","6.5","7","1"
"TT_TU_MN009","1420","201901060800","6.4","7","1"
"TT_TU_MN009","1420","201901060900","6.5","7","1"
"TT_TU_MN009","1420","201901061000","6.7","7","1"
"TT_TU_MN009","1420","201901061100","7","7","1"
"TT_TU_MN009","1420","201901061200","7.1","7","1"
"TT_TU_MN009","1420","201901061300","7","7","1"
"TT_TU_MN009","1420","201901061400","7","7","1"
"TT_TU_MN009","1420","201901061500","6.8","7","1"
"TT_TU_MN009","1420","201901061600","6.5","7","1"
"TT_TU_MN009","1420","201901061700","6.3","7","1"
"TT_TU_MN009","1420","201901061800","6.3","7","1"
"TT_TU_MN009","1420","201901061900","6.3","7","1"
"TT_TU_MN009","1420","201901062000","6.2","7","1"
"TT_TU_MN009","1420","201901062100","6","7","1"
"TT_TU_MN009","1420","201901062200","5.7","7","1"
"TT_TU_MN009","1420","201901062300","5.7","7","1"
"TT_TU_MN009","1420","201901070000","5.6","7","1"
"TT_TU_MN009","1420","201901070100","5.4","7","1"
"TT_TU_MN009","1420","201901070200","5","7","1"
"TT_TU_MN009","1420","201901070300","5","7","1"
"TT_TU_MN009","1420","201901070400","5.3","7","1"
"TT_TU_MN009","1420","201901070500","5.4","7","1"
"TT_TU_MN009","1420","201901070600","5.3","7","1"
"TT_TU_MN009","1420","201901070700","5.1","7","1"
"TT_TU_MN009","1420","201901070800","5.2","7","1"
"TT_TU_MN009","1420","201901070900","5.4","7","1"
"TT_TU_MN009","1420","201901071000","5.5","7","1"
"TT_TU_MN009","1420","201901071100","5.7","7","1"
"TT_TU_MN009","1420","201901071200","6.2","7","1"
"TT_TU_MN009","1420","201901071300","6.5","7","1"
"TT_TU_MN009","1420","201901071400","7","7","1"
"TT_TU_MN009","1420","201901071500","6.9","7","1"
"TT_TU_MN009","1420","201901071600","6.3","7","1"
"TT_TU_MN009","1420","201901071700","6","7","1"
"TT_TU_MN009","1420","201901071800","5.7","7","1"
"TT_TU_MN009","1420","201901071900","4.9","7","1"
"TT_TU_MN009","1420","201901072000","4.5","7","1"
"TT_TU_MN009","1420","201901072100","3.8","7","1"
"TT_TU_MN009","1420","201901072200","3.9","7","1"
"TT_TU_MN009","1420","201901072300","4.2","7","1"
"TT_TU_MN009","1420","201901080000","4.5","7","1"
"TT_TU_MN009","1420","201901080100","4.9","7","1"
"TT_TU_MN009","1420","201901080200","5.2","7","1"
"TT_TU_MN009","1420","201901080300","5.5","7","1"
"TT_TU_MN009","1420","201901080400","5.7","7","1"
"TT_TU_MN009","1420","201901080500","5.4","7","1"
"TT_TU_MN009","1420","201901080600","6.3","7","1"
"TT_TU_MN009","1420","201901080700","6.1","7","1"
"TT_TU_MN009","1420","201901080800","6.4","7","1"
"TT_TU_MN009","1420","201901080900","6.5","7","1"
"TT_TU_MN009","1420","201901081000","6","7","1"
"TT_TU_MN009","1420","201901081100","5.7","7","1"
"TT_TU_MN009","1420","201901081200","5.7","7","1"
"TT_TU_MN009","1420","201901081300","5.6","7","1"
"TT_TU_MN009","1420","201901081400","6.3","7","1"
"TT_TU_MN009","1420","201901081500","5.6","7","1"
"TT_TU_MN009","1420","201901081600","6","7","1"
"TT_TU_MN009","1420","201901081700","5.8","7","1"
"TT_TU_MN009","1420","201901081800","5.4","7","1"
"TT_TU_MN009","1420","201901081900","5.9","7","1"
"TT_TU_MN009","1420","201901082000","6","7","1"
"TT_TU_MN009","1420","201901082100","5.2","7","1"
"TT_TU_MN009","1420","201901082200","5.4","7","1"
"TT_TU_MN009","1420","201901082300","4.7","7","1"
"TT_TU_MN009","1420","201901090000","4.5","7","1"
"TT_TU_MN009","1420","201901090100","4.8","7","1"
"TT_TU_MN009","1420","201901090200","4","7","1"
"TT_TU_MN009","1420","201901090300","4.3","7","1"
"TT_TU_MN009","1420","201901090400","3.7","7","1"
"TT_TU_MN009","1420","201901090500","2.9","7","1"
"TT_TU_MN009","1420","201901090600","3","7","1"
"TT_TU_MN009","1420","201901090700","3.3","7","1"
"TT_TU_MN009","1420","201901090800","3.3","7","1"
"TT_TU_MN009","1420","201901090900","3.4","7","1"
"TT_TU_MN009","1420","201901091000","3.8","7","1"
"TT_TU_MN009","1420","201901091100","4.6","7","1"
"TT_TU_MN009","1420","201901091200","4.5","7","1"
"TT_TU_MN009","1420","201901091300","4.6","7","1"
"TT_TU_MN009","1420","201901091400","4.2","7","1"
"TT_TU_MN009","1420","201901091500","3.7","7","1"
"TT_TU_MN009","1420","201901091600","3.5","7","1"
"TT_TU_MN009","1420","201901091700","3.3","7","1"
"TT_TU_MN009","1420","201901091800","2.9","7","1"
"TT_TU_MN009","1420","201901091900","2.7","7","1"
"TT_TU_MN009","1420","201901092000","2.7","7","1"
"TT_TU_MN009","1420","201901092100","2.4","7","1"
"TT_TU_MN009","1420","201901092200","2.6","7","1"
"TT_TU_MN009","1420","201901092300","2.8","7","1"
"TT_TU_MN009","1420","201901100000","2.9","7","1"
"TT_TU_MN009","1420","201901100100","2.9","7","1"
"TT_TU_MN009","1420","201901100200","2.7","7","1"
"TT_TU_MN009","1420","201901100300","2.4","7","1"
"TT_TU_MN009","1420","201901100400","2.8","7","1"
"TT_TU_MN009","1420","201901100500","2.6","7","1"
"TT_TU_MN009","1420","201901100600","1","7","1"
"TT_TU_MN009","1420","201901100700","0.1","7","1"
"TT_TU_MN009","1420","201901100800","2.1","7","1"
"TT_TU_MN009","1420","201901100900","2.5","7","1"
"TT_TU_MN009","1420","201901101000","2.9","7","1"
"TT_TU_MN009","1420","201901101100","3.1","7","1"
"TT_TU_MN009","1420","201901101200","2.8","7","1"
"TT_TU_MN009","1420","201901101300","2.6","7","1"
"TT_TU_MN009","1420","201901101400","2.6","7","1"
"TT_TU_MN009","1420","201901101500","2.3","7","1"
"TT_TU_MN009","1420","201901101600","2","7","1"
"TT_TU_MN009","1420","201901101700","1.1","7","1"
"TT_TU_MN009","1420","201901101800","0.7","7","1"
"TT_TU_MN009","1420","201901101900","-0.7","7","1"
"TT_TU_MN009","1420","201901102000","-1.2","7","1"
"TT_TU_MN009","1420","201901102100","-1.3","7","1"
"TT_TU_MN009","1420","201901102200","-1.4","7","1"
"TT_TU_MN009","1420","201901102300","-1.4","7","1"
"TT_TU_MN009","1420","201901110000","-1.6","7","1"
"TT_TU_MN009","1420","201901110100","-1.3","7","1"
"TT_TU_MN009","1420","201901110200","-1.2","7","1"
"TT_TU_MN009","1420","201901110300","-0.9","7","1"
"TT_TU_MN009","1420","201901110400","-0.8","7","1"
"TT_TU_MN009","1420","201901110500","-0.5","7","1"
"TT_TU_MN009","1420","201901110600","-0.5","7","1"
"TT_TU_MN009","1420","201901110700","-0.3","7","1"
"TT_TU_MN009","1420","201901110800","0","7","1"
"TT_TU_MN009","1420","201901110900","0","7","1"
"TT_TU_MN009","1420","201901111000","-0.1","7","1"
"TT_TU_MN009","1420","201901111100","0","7","1"
"TT_TU_MN009","1420","201901111200","0.2","7","1"
"TT_TU_MN009","1420","201901111300","0.4","7","1"
"TT_TU_MN009","1420","201901111400","0.5","7","1"
"TT_TU_MN009","1420","201901111500","0.7","7","1"
"TT_TU_MN009","1420","201901111600","0.9","7","1"
"TT_TU_MN009","1420","201901111700","1","7","1"
"TT_TU_MN009","1420","201901111800","1.1","7","1"
"TT_TU_MN009","1420","201901111900","1.3","7","1"
"TT_TU_MN009","1420","201901112000","1.4","7","1"
"TT_TU_MN009","1420","201901112100","1.8","7","1"
"TT_TU_MN009","1420","201901112200","1.8","7","1"
"TT_TU_MN009","1420","201901112300","1.9","7","1"
"TT_TU_MN009","1420","201901120000","2.1","7","1"
"TT_TU_MN009","1420","201901120100","2.4","7","1"
"TT_TU_MN009","1420","201901120200","2.5","7","1"
"TT_TU_MN009","1420","201901120300","2.7","7","1"
"TT_TU_MN009","1420","201901120400","3.2","7","1"
"TT_TU_MN009","1420","201901120500","3.4","7","1"
"TT_TU_MN009","1420","201901120600","4","7","1"
"TT_TU_MN009","1420","201901120700","4.3","7","1"
"TT_TU_MN009","1420","201901120800","3.9","7","1"
"TT_TU_MN009","1420","201901120900","4.7","7","1"
"TT_TU_MN009","1420","201901121000","5.2","7","1"
"TT_TU_MN009","1420","201901121100","5.2","7","1"
"TT_TU_MN009","1420","201901121200","5","7","1"
"TT_TU_MN009","1420","201901121300","5.2","7","1"
"TT_TU_MN009","1420","201901121400","5.3","7","1"
"TT_TU_MN009","1420","201901121500","5.3","7","1"
"TT_TU_MN009","1420","201901121600","4.8","7","1"
"TT_TU_MN009","1420","201901121700","4.8","7","1"
"TT_TU_MN009","1420","201901121800","4.6","7","1"
"TT_TU_MN009","1420","201901121900","4.6","7","1"
"TT_TU_MN009","1420","201901122000","4.8","7","1"
"TT_TU_MN009","1420","201901122100","4.9","7","1"
"TT_TU_MN009","1420","201901122200","5.3","7","1"
"TT_TU_MN009","1420","201901122300","5.1","7","1"
"TT_TU_MN009","1420","201901130000","5.6","7","1"
"TT_TU_MN009","1420","201901130100","5.9","7","1"
"TT_TU_MN009","1420","201901130200","5.5","7","1"
"TT_TU_MN009","1420","201901130300","5.8","7","1"
"TT_TU_MN009","1420","201901130400","5.4","7","1"
"TT_TU_MN009","1420","201901130500","6.3","7","1"
"TT_TU_MN009","1420","201901130600","6.3","7","1"
"TT_TU_MN009","1420","201901130700","6.3","7","1"
"TT_TU_MN009","1420","201901130800","6.7","7","1"
"TT_TU_MN009","1420","201901130900","6.5","7","1"
"TT_TU_MN009","1420","201901131000","6.8","7","1"
"TT_TU_MN009","1420","201901131100","7.4","7","1"
"TT_TU_MN009","1420","201901131200","7.8","7","1"
"TT_TU_MN009","1420","201901131300","8","7","1"
"TT_TU_MN009","1420","201901131400","8.5","7","1"
"TT_TU_MN009","1420","201901131500","9.1","7","1"
"TT_TU_MN009","1420","201901131600","9.3","7","1"
"TT_TU_MN009","1420","201901131700","9.6","7","1"
"TT_TU_MN009","1420","201901131800","9.5","7","1"
"TT_TU_MN009","1420","201901131900","9.8","7","1"
"TT_TU_MN009","1420","201901132000","9.2","7","1"
"TT_TU_MN009","1420","201901132100","9.3","7","1"
"TT_TU_MN009","1420","201901132200","7.4","7","1"
"TT_TU_MN009","1420","201901132300","7.1","7","1"
"TT_TU_MN009","1420","201901140000","6.8","7","1"
"TT_TU_MN009","1420","201901140100","7.5","7","1"
"TT_TU_MN009","1420","201901140200","7","7","1"
"TT_TU_MN009","1420","201901140300","6.7","7","1"
"TT_TU_MN009","1420","201901140400","5.8","7","1"
"TT_TU_MN009","1420","201901140500","6.1","7","1"
"TT_TU_MN009","1420","201901140600","5.6","7","1"
"TT_TU_MN009","1420","201901140700","5.2","7","1"
"TT_TU_MN009","1420","201901140800","4.7","7","1"
"TT_TU_MN009","1420","201901140900","4.7","7","1"
"TT_TU_MN009","1420","201901141000","4.2","7","1"
"TT_TU_MN009","1420","201901141100","4.2","7","1"
"TT_TU_MN009","1420","201901141200","4.6","7","1"
"TT_TU_MN009","1420","201901141300","5.4","7","1"
"TT_TU_MN009","1420","201901141400","5.6","7","1"
"TT_TU_MN009","1420","201901141500","5.8","7","1"
"TT_TU_MN009","1420","201901141600","5","7","1"
"TT_TU_MN009","1420","201901141700","3.5","7","1"
