"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"TT_TU_MN009","1420","201902010000","-0.3","7","6"
"TT_TU_MN009","1420","201902010100","-0.1","7","6"
"TT_TU_MN009","1420","201902010200","-0.3","7","1"
"TT_TU_MN009","1420","201902010300","-0.3","7","1"
"TT_TU_MN009","1420","201902010400","0","7","1"
"TT_TU_MN009","1420","201902010500","0","7","1"
"TT_TU_MN009","1420","201902010600","0.2","7","1"
"TT_TU_MN009","1420","201902010700","0.5","7","1"
"TT_TU_MN009","1420","201902010800","0.8","7","1"
"TT_TU_MN009","1420","201902010900","1.5","7","1"
"TT_TU_MN009","1420","201902011000","2.2","7","1"
"TT_TU_MN009","1420","201902011100","2.4","7","1"
"TT_TU_MN009","1420","201902011200","3.2","7","1"
"TT_TU_MN009","1420","201902011300","3.1","7","1"
"TT_TU_MN009","1420","201902011400","3.1","7","1"
"TT_TU_MN009","1420","201902011500","3.3","7","1"
"TT_TU_MN009","1420","201902011600","3.6","7","1"
"TT_TU_MN009","1420","201902011700","2.8","7","1"
"TT_TU_MN009","1420","201902011800","3.1","7","1"
"TT_TU_MN009","1420","201902011900","2.9","7","1"
"TT_TU_MN009","1420","201902012000","3.4","7","1"
"TT_TU_MN009","1420","201902012100","3.7","7","1"
"TT_TU_MN009","1420","201902012200","3.3","7","1"
"TT_TU_MN009","1420","201902012300","2.6","7","1"
"TT_TU_MN009","1420","201902020000","2.5","7","1"
"TT_TU_MN009","1420","201902020100","2.4","7","1"
"TT_TU_MN009","1420","201902020200","2.4","7","1"
"TT_TU_MN009","1420","201902020300","2.2","7","1"
"TT_TU_MN009","1420","201902020400","2.2","7","1"
"TT_TU_MN009","1420","201902020500","2.6","7","1"
"TT_TU_MN009","1420","201902020600","2.2","7","1"
"TT_TU_MN009","1420","201902020700","2.6","7","1"
"TT_TU_MN009","1420","201902020800","2.7","7","1"
"TT_TU_MN009","1420","201902020900","2.7","7","1"
"TT_TU_MN009","1420","201902021000","3","7","1"
"TT_TU_MN009","1420","201902021100","3.6","7","1"
"TT_TU_MN009","1420","201902021200","3.8","7","1"
"TT_TU_MN009","1420","201902021300","3.8","7","1"
"TT_TU_MN009","1420","201902021400","4.1","7","1"
"TT_TU_MN009","1420","201902021500","4.3","7","1"
"TT_TU_MN009","1420","201902021600","4.3","7","1"
"TT_TU_MN009","1420","201902021700","4.2","7","1"
"TT_TU_MN009","1420","201902021800","4.3","7","1"
"TT_TU_MN009","1420","201902021900","3.9","7","1"
"TT_TU_MN009","1420","201902022000","4.1","7","1"
"TT_TU_MN009","1420","201902022100","3.9","7","1"
"TT_TU_MN009","1420","201902022200","3.8","7","1"
"TT_TU_MN009","1420","201902022300","3.7","7","1"
"TT_TU_MN009","1420","201902030000","3.2","7","1"
"TT_TU_MN009","1420","201902030100","3","7","1"
"TT_TU_MN009","1420","201902030200","2.9","7","1"
"TT_TU_MN009","1420","201902030300","3.3","7","1"
"TT_TU_MN009","1420","201902030400","3.1","7","1"
"TT_TU_MN009","1420","201902030500","2.9","7","1"
"TT_TU_MN009","1420","201902030600","2.8","7","1"
"TT_TU_MN009","1420","201902030700","3","7","1"
"TT_TU_MN009","1420","201902030800","2.5","7","1"
"TT_TU_MN009","1420","201902030900","2.6","7","1"
"TT_TU_MN009","1420","201902031000","2.9","7","1"
"TT_TU_MN009","1420","201902031100","3.4","7","1"
"TT_TU_MN009","1420","201902031200","3.3","7","1"
"TT_TU_MN009","1420","201902031300","3.8","7","1"
"TT_TU_MN009","1420","201902031400","4","7","1"
"TT_TU_MN009","1420","201902031500","4.1","7","1"
"TT_TU_MN009","1420","201902031600","3.9","7","1"
"TT_TU_MN009","1420","201902031700","4","7","1"
"TT_TU_MN009","1420","201902031800","3.3","7","1"
"TT_TU_MN009","1420","201902031900","3.3","7","1"
"TT_TU_MN009","1420","201902032000","3.3","7","1"
"TT_TU_MN009","1420","201902032100","3.1","7","1"
"TT_TU_MN009","1420","201902032200","1.9","7","1"
"TT_TU_MN009","1420","201902032300","0.6","7","1"
"TT_TU_MN009","1420","201902040000","0.5","7","1"
"TT_TU_MN009","1420","201902040100","-1.3","7","1"
"TT_TU_MN009","1420","201902040200","-2.3","7","1"
"TT_TU_MN009","1420","201902040300","-2.9","7","1"
"TT_TU_MN009","1420","201902040400","-3.1","7","1"
"TT_TU_MN009","1420","201902040500","-3.3","7","1"
"TT_TU_MN009","1420","201902040600","-4","7","1"
"TT_TU_MN009","1420","201902040700","-3.9","7","1"
"TT_TU_MN009","1420","201902040800","-2.8","7","1"
"TT_TU_MN009","1420","201902040900","0.2","7","1"
"TT_TU_MN009","1420","201902041000","1.3","7","1"
"TT_TU_MN009","1420","201902041100","2.5","7","1"
"TT_TU_MN009","1420","201902041200","3.5","7","1"
"TT_TU_MN009","1420","201902041300","4.6","7","1"
"TT_TU_MN009","1420","201902041400","5","7","1"
"TT_TU_MN009","1420","201902041500","4.8","7","1"
"TT_TU_MN009","1420","201902041600","4.2","7","1"
"TT_TU_MN009","1420","201902041700","3","7","1"
"TT_TU_MN009","1420","201902041800","1.5","7","1"
"TT_TU_MN009","1420","201902041900","0","7","1"
"TT_TU_MN009","1420","201902042000","-0.3","7","1"
"TT_TU_MN009","1420","201902042100","-0.4","7","1"
"TT_TU_MN009","1420","201902042200","1.1","7","1"
"TT_TU_MN009","1420","201902042300","1","7","1"
"TT_TU_MN009","1420","201902050000","1.7","7","1"
"TT_TU_MN009","1420","201902050100","0.9","7","1"
"TT_TU_MN009","1420","201902050200","0.3","7","1"
"TT_TU_MN009","1420","201902050300","-1.2","7","1"
"TT_TU_MN009","1420","201902050400","-1.9","7","1"
"TT_TU_MN009","1420","201902050500","-1.2","7","1"
"TT_TU_MN009","1420","201902050600","-0.5","7","1"
"TT_TU_MN009","1420","201902050700","-0.1","7","1"
"TT_TU_MN009","1420","201902050800","0.2","7","1"
"TT_TU_MN009","1420","201902050900","0.4","7","1"
"TT_TU_MN009","1420","201902051000","1.4","7","1"
"TT_TU_MN009","1420","201902051100","2.6","7","1"
"TT_TU_MN009","1420","201902051200","3.2","7","1"
"TT_TU_MN009","1420","201902051300","3.8","7","1"
